when we played Catan at Alex and Maria's place	Playing the board game Catan with Alex and Maria at their apartment, last Friday night.	Family game night at my parents' house	Playing video games with Alex	New Year's Eve party with friends	Celebrating Chloe's 30th birthday at that rooftop bar downtown, July 2024.	My sister Sarah's wedding day, photos of her walking down the aisle at the church in May 2021.	Watching The Killers perform live with Alex and Chloe at the music festival, July 2022.	Watching the New Year's Eve fireworks over the harbor from our friend Chloe's balcony. Ringing in 2023.
show me when our son started walking	Leo taking his first steps in our living room, March 2024, with our golden retriever, Sunny, watching.	Leo's first birthday party	Sunny the dog playing at the park	Leo crawling in the kitchen	Me and Sarah watching the sunset from our balcony in Santorini, Greece, during our anniversary trip in July 2022.	Me working on my pottery project, making a vase on the wheel in the community studio.	Kids building a sandcastle on the beach in Maui, Hawaii. Family vacation, July 2023.	Mom and Dad's 40th wedding anniversary party at the community hall, June 8, 2023.
Photos from our 2022 backpacking adventure	Backpacking trip with Sarah in Thailand, posing in front of the Doi Suthep temple in Chiang Mai, July 2022.	Our beach vacation in Bali	Trip to Japan with my family	Sarah's wedding photos	A candid shot of me working on the large abstract canvas in my messy art studio during a late night session, spring 2023.	Audio recording of Grandma telling her story about immigrating to America, recorded on my phone, January 15, 2021.	Video of Lily's first school play where she was a tree, December 2023.	The 'Phoenix' project launch party at the office, our team celebrating with champagne. May 15, 2023.
That time I completed the city race	Me crossing the finish line at the city marathon, April 15, 2023.	My first 5k race	Photos of me training for the marathon	Watching the city marathon from the sidelines with friends	My team winning the hackathon award at the company offsite in Austin, Texas. June 2024.	My work team celebrating the successful 'Project Phoenix' launch with pizza and beer at the office, November 2023.	Me and my wife, Sarah, in front of the Eiffel Tower, Paris trip, September 2022.	Group photo with my college friends (Mike, Jess, and Tom) at a rooftop barbecue in Brooklyn, summer 2021.
That rainy day I spent on the balcony	Me reading a book on the balcony on a rainy Sunday afternoon, September 2024.	Reading by the fireplace in winter	Sunny day at the beach with a book	Family brunch last Sunday	Building the new bookshelf for the study, finished it last weekend.	Watching Taylor Swift perform on stage during the Eras Tour in Seattle, July 2023.	Playing board games (Settlers of Catan) with college friends during a rainy Saturday night, November 2023.	My son Leo's first steps in the living room, January 15, 2024.
Mittens napping on the rug	Our cat, Mittens, sleeping in a sunbeam on the new blue rug in the living room.	Our dog playing in the yard	Mittens playing with her feather toy	The family watching TV on the blue rug	Video of baby Leo taking his first steps in the kitchen, around his 1st birthday in May 2023.	Making homemade pizza with Alex in our kitchen on a rainy Saturday night, February 2024.	Video of Sophie playing 'Twinkle Twinkle Little Star' on the piano at her first recital, December 2023.	Hiking with Mark and Chloe at Zion National Park, on the Emerald Pools trail, Summer 2022.
My pottery studio sessions	Me working on my pottery project, making a vase on the wheel in the community studio.	My finished pottery pieces on the shelf	Painting class with my sister	Gardening in the backyard	Making homemade pasta with Mom in the kitchen on a rainy Sunday afternoon, October 2023.	My work team celebrating after our big project launch at the office. We ordered pizza. May 2023.	Carving pumpkins with the kids in the kitchen for Halloween 2023.	Celebrating our 5th wedding anniversary with a fancy dinner at 'The French Laundry', November 2023. With my wife, Emily.
Show me the unicorn cake from Maya's party.	Maya's 5th birthday party at the local park, with the unicorn-themed cake. July 2022.	Leo's 5th birthday party.	Maya's 4th birthday party at home.	Family picnic at the park, summer 2022.	Grandma's famous turkey at Thanksgiving dinner, our house, November 2022.	The whole family gathered for Thanksgiving dinner at Grandma's house, November 2024. Uncle Dave is carving the turkey.	Holding my finisher's medal after running my first half-marathon in downtown Seattle, May 4, 2024.	Before and after photos of our backyard deck renovation project, completed in Spring 2021.
photos from October 2023	The kids carving pumpkins on the back porch for Halloween 2023.	Kids in their Halloween costumes trick-or-treating	Christmas morning 2023	Carving the turkey for Thanksgiving	The whole family dressed up for our annual Halloween party at our house, October 31, 2023. I was a vampire, the kids were ghosts.	Me and my sister, Chloe, building a snowman in our backyard on a snow day, circa 1998.	The whole marketing team at our company offsite retreat in Lake Tahoe. We were doing a trust fall exercise. Summer 2023.	Our cat, Mittens, sleeping in a patch of sunlight on the green armchair. Sunday afternoon.
Our pumpkins from last year	Kids carving pumpkins on the back porch for Halloween, October 2023.	Kids in their Halloween costumes trick-or-treating	Decorating the Christmas tree	The family Easter egg hunt in the backyard	Me presenting the 'Project Phoenix' update at the annual company conference in Chicago, October 2023.	The whole family around the dinner table for Thanksgiving, November 2023. Dad is carving the turkey.	Me holding my finished pottery vase from the ceramics class, final session, April 2024.	Me proudly holding up the sourdough bread I baked for the first time in our kitchen, during the winter of 2020.
show me Mom watering her garden	Video of Mom humming and watering her plants on the balcony on a sunny morning.	Mom baking in the kitchen	planting flowers in the backyard with Dad	rainy day at home	Me and Maya walking through the thousands of torii gates at Fushimi Inari Shrine in Kyoto, Japan. Spring 2022.	My finished sourdough bread loaf on the kitchen counter, looking golden brown, March 15, 2024.	Photo of me crossing the finish line at the New York City Marathon. So exhausted but so happy! November 2023.	Me and Sarah watching the sunset over the Santorini cliffs, Greece trip, September 2023.
when I saw Taylor Swift live	Video clips from the front row of the Taylor Swift concert at MetLife Stadium, May 2023.	listening to Taylor Swift in the car	videos from the Beyonce concert	watching the Eras Tour movie at home	Me and Sarah hiking the Inca Trail to Machu Picchu, Peru, May 2022.	Video recording of me presenting the Q3 project results at the company all-hands meeting, September 15, 2024.	Making pancakes with the kids on a rainy Saturday morning, March 2024.	The whole family around the dinner table for Thanksgiving at my parents' house, November 2023.
Photos from when I ran the Chicago marathon	Me crossing the finish line of the Chicago Marathon, completely exhausted and drenched in rain, October 2022.	My training runs for the marathon in the park	My first 5k race in 2020	Watching the Chicago marathon from the sidelines with friends	Group photo of me, Alex, and Maria at the summit of Mount Rainier after our hike, August 2024.	Emily's 30th birthday surprise party at The Rooftop Bar, June 8, 2024.	Celebrating Grandma's 80th birthday at the Italian restaurant, March 2023. The whole family was there.	Our team's project launch party at the office, celebrating the 'Odyssey' release. December 2023.
Find that talk I gave at the annual offsite	Presenting my project at the annual company conference in Chicago, October 2021.	Company holiday party 2021	Team lunch last week	My vacation to Chicago in 2022	Baby Leo taking his first steps in the living room, March 15, 2023, with mom and dad cheering.	Me and Sarah eating gelato in front of the Colosseum in Rome, Italy. August 2021.	Liam taking his first steps in the kitchen, August 2023, video clip.	Me working on my pottery project, making a vase on the wheel in the community studio.
Our backyard BBQ on Independence Day	The whole family in the backyard for our annual 4th of July BBQ, 2024. Kids are playing with sparklers.	Memorial Day BBQ from this year	Watching the 4th of July fireworks at the park	The kids swimming in the pool on Labor Day	Our cat, Mittens, curled up sleeping on my laptop keyboard while I was trying to work. Winter 2024.	Hiking the Bright Angel Trail at the Grand Canyon with Mark and Sarah. It was a hot day in May 2021.	Our first family barbecue of the summer at Grandpa's house, June 2024.	My college friends and I having a bonfire and barbecue at Ocean Beach last summer.
Me looking tired after running 26.2 miles	Me crossing the finish line at the Chicago Marathon, October 2023. I look exhausted but happy.	My first 5k race	Training runs for the marathon	Watching the Chicago Marathon from the sidelines	The before and after photos of painting the living room that 'Serene Blue' color in August 2022.	Making homemade pasta from scratch with Sarah in my kitchen, winter 2023.	Video of the crowd singing along at the Taylor Swift concert at Wembley Stadium, June 2024.	At Mike and Emily's wedding, dancing with the bridesmaids. August 6, 2024, at the vineyard.
Us carving pumpkins last Halloween	Carving pumpkins with the kids in the kitchen for Halloween, October 30th, 2023.	Kids in their Halloween costumes trick-or-treating	Making Thanksgiving dinner in the kitchen	Decorating the Christmas tree in the living room	My sister Emily's first dance with her husband Mark at their wedding reception in the old barn venue, June 10th, 2023.	Photos of the kitchen renovation progress, showing the before and after of the cabinets we painted.	Our first anniversary dinner at 'The Olive Branch' restaurant, downtown. November 20th, 2023.	Little Leo taking his first steps in the living room between the couch and the coffee table, March 2024.
Me, Tom, and Jess in the mountains	Hiking with Tom and Jess on the Eagle Peak trail, Yosemite, early morning, August 2021.	Beach trip with Tom and Jess	Skiing in Colorado with my family	Hiking alone in Zion National Park	Hiking The Narrows in Zion National Park with my brother, David. We were waist-deep in the water. August 2022.	My son Leo's first steps in the living room, January 15, 2024.	Our 5th anniversary dinner at that Italian place downtown with the fairy lights, 'La Trattoria'. September 21, 2023.	Maya's 5th birthday party at the local park, with the unicorn-themed cake. July 2022.
Me and Sarah in Napa Valley June 2023	Celebrating our 10th wedding anniversary at 'The French Laundry', Napa Valley, June 2023.	Our honeymoon in Italy	Sarah's 40th birthday party	Wine tasting tour in Sonoma with friends	Leo's 5th birthday party, superhero theme, in our backyard, June 2023.	Photos of the vegetable garden I built in my backyard, showing the freshly planted tomato and cucumber seedlings in early Spring 2024.	Leo's first time riding his bike without training wheels at the local park, August 5th, 2023.	Painting the nursery a light blue color before Olivia was born, January 2024.
When we prepped for Halloween in the yard	Carving pumpkins with the kids in the backyard for Halloween 2023.	The kids in their Halloween costumes trick-or-treating	Carving the Thanksgiving turkey	Decorating the Christmas tree with the family	Standing in front of the Eiffel Tower during our family trip to Paris, France, September 2023.	Celebrating Mom's 60th birthday party at The Grand Hotel, August 15, 2022. The whole family was there.	Video of The National performing 'Bloodbuzz Ohio' live at the Greek Theatre. Alex and I were there, September 2024.	My cat, Mittens, sleeping in a sunbeam on the living room rug, on a lazy Sunday afternoon.
Find the video of Sophie playing piano	Video of Sophie playing 'Twinkle Twinkle Little Star' on the piano at her first recital, December 2023.	Sophie's soccer game last Saturday	Liam learning to play the drums	The school Christmas play	Video of my daughter Chloe taking her first steps in the living room, around her first birthday in March 2022.	Our first family barbecue of the summer at Grandpa's house, June 2024.	Celebrating Chloe's 30th birthday with a surprise party at 'The Rooftop Bar', last summer.	Video of Mom humming and watering her plants on the balcony on a sunny morning.
making s'mores by the fire last summer	Camping trip with Mark and Sarah at Yosemite National Park, making s'mores by the fire, August 2023.	hiking trip with Mark in the mountains	family vacation to Yosemite	our beach camping trip	My daughter Chloe's first birthday party in our backyard, May 15, 2022.	Baby Leo taking his first steps in the living room, January 15, 2024.	Video of the fireworks finale at the Coldplay concert, Rose Bowl, September 2023.	Our cat, Mittens, curled up sleeping in a sunbeam on the living room rug.
BBQ at Mike's place with the college crew	Group photo with my college friends (Mike, Jess, and Tom) at a rooftop barbecue in Brooklyn, summer 2021.	My college graduation photos	Christmas party with my work colleagues	Family barbecue in our backyard	Celebrating David's 30th birthday with friends at The Olive Branch restaurant, last Saturday night.	Celebrating Chloe's 30th birthday at that rooftop bar downtown, July 2024.	Celebrating our 10th wedding anniversary at The French Laundry in Napa Valley, June 2023.	Photo of the large bass I caught at Lake Travis during an early morning fishing trip, August 2023.
photos of my baking in the kitchen	My first successful sourdough loaf, cooling on the rack in the kitchen. The result of my 2020 pandemic baking project.	The birthday cake I baked for Mom last year	Making homemade pasta from scratch with Anna	Our summer barbecue in 2020	Our cat, Mittens, napping in a sunbeam on the new blue couch, last Sunday afternoon.	My brother David and his wife Emily's wedding ceremony at the botanical gardens, July 2024.	My proposal to Jessica at sunset on Ka'anapali Beach, Maui, May 15, 2024.	Video of my daughter, Chloe, taking her first steps in the hallway, she was about 11 months old.
The whole marketing group at the conference	The marketing team at the annual sales kickoff event in San Diego, January 2024.	The marketing team's holiday party	Last year's sales kickoff in Miami	Team building escape room activity	Celebrating our 10th wedding anniversary at The French Laundry in Napa Valley, June 2023.	Thanksgiving dinner with the whole family at Grandma's house, November 2023.	Me holding my finished pottery vase from the ceramics class, final session, April 2024.	Group photo at the summit of Mount Rainier after a long hike. July 2023.
The light blue nursery pictures from March 2022	Finally finished painting the nursery light blue, just before baby Emily was born, March 2022.	Photos of Emily's first birthday party	Painting the kitchen yellow last year	Assembling the crib for the nursery	Me, Sarah, and Mark at the Colosseum in Rome, Italy, summer 2022.	My friends and I having a bonfire and BBQ at Jen's lake house for the 4th of July weekend.	Thanksgiving dinner at Grandma's house, November 2023. The whole family around the dining table, with the turkey in the center.	Celebrating Mark's 30th birthday at that rooftop bar downtown, last summer.
friends over at our house	Game night with Alex, Maria, and David at our place last winter, playing Catan.	Game night at Alex's apartment	New Year's Eve party with our friends	Family playing Monopoly at Christmas	My friends Mark, David, and I playing board games at my apartment, last Friday night.	Me and David hiking the trail to Vernal Fall in Yosemite National Park. We're standing in front of the waterfall, soaked from the mist. August 2021.	Liam's 1st birthday party at Grandma's house, with the dinosaur-themed cake, June 2022.	Game night with Alex, Chloe, and Ben at our apartment, February 2024.
Game night at Alex and Maria's place	Playing the board game 'Catan' with Alex and Maria at their new apartment, a weekend night in February 2024.	Going to the movies with Alex	Dinner party at my house	Playing video games with my brother	Baby Leo taking his first steps in the living room, January 15, 2024.	Hiking the 'Angel's Landing' trail with college friends at Zion National Park, May 2021.	Before and after photos of our backyard deck renovation project, completed in Spring 2021.	Me and Sarah eating gelato in front of the Colosseum, Rome, Italy. July 2023.
Find photos from June 4th, 2024	My partner David and I having a picnic at Golden Gate Park on our anniversary, June 4th, 2024.	David's birthday dinner last month	Hiking at Muir Woods with David	Our first date at the coffee shop	My first successful sourdough loaf, cooling on the kitchen counter. April 2020.	Video of David's hilarious best man speech at our wedding, May 20, 2022.	The whole family dressed up for our annual Halloween party at our house, October 31, 2023. I was a vampire, the kids were ghosts.	Thanksgiving dinner at Grandma Helen's house, November 2023. The whole family is around the dining table.
Photos from my art class last spring.	My first successful pottery piece, the lopsided blue mug, from the community art class, Spring 2023.	My painting class from college.	The professional pottery I bought at the market.	Dad's woodworking projects in the garage.	My brother and I building a snowman in the front yard after the big snowstorm of winter 2005.	Carving pumpkins with the kids in the kitchen for Halloween 2023.	Baking sourdough bread in my kitchen on a rainy Saturday morning, November 2023.	Front row at the Taylor Swift concert with Jess, MetLife Stadium, July 2023.
Our summer vacation two years ago	Hiking the Narrows with Sarah in Zion National Park, Summer 2022 vacation.	Hiking in Yosemite National Park	Our family trip to the Grand Canyon	Sarah's beach vacation photos	Photos of the vegetable garden I planted in the backyard, showing the first tomato sprouts, May 2023.	A selfie with my best friends, Maria and Chloe, at the Taylor Swift concert, MetLife Stadium, July 2024.	Game night with Maria and Chris at our apartment, playing Settlers of Catan, last Friday night.	My cat Jasper curled up asleep on my warm laptop keyboard, preventing me from working.
Company offsite in 2022	Our team winning the 'Innovator of the Year' award at the company offsite in Austin, TX, September 2022.	Company holiday party from 2022	Team lunch at the office last week	Presenting at the conference in Chicago	The kids, Leo and Mia, carving pumpkins on the back porch for Halloween 2022.	Carving pumpkins with the whole family on the back porch for Halloween, October 2022.	My wife Sarah and I snorkeling with sea turtles at Hanauma Bay, Hawaii, during our honeymoon in July 2022.	Sarah and Mike's wedding reception at The Grand Hall, October 12, 2023.
Fushimi Inari pictures	Me and Maya walking through the thousands of torii gates at Fushimi Inari Shrine in Kyoto, Japan. Spring 2022.	Our trip to Tokyo Skytree	Hiking in the mountains last spring with David	Pictures from the cherry blossom festival in Washington D.C.	Before and after photos of painting the kitchen cabinets from dark brown to sage green, October 2023.	Making chocolate chip cookies with the kids, Maya and Ben, on that rainy Saturday afternoon.	Me and Sarah hiking the trail at Yosemite National Park during our trip in August 2023.	Our cat, Mittens, napping in a sunbeam on the windowsill.
Photos from the big family get-together in November 2022	My whole family gathered at Grandma's house for Thanksgiving dinner in November 2022.	Christmas dinner at our house last year	Grandma's 80th birthday party	Thanksgiving 2023 when we went to my aunt's	My fiancé Michael and I watching the sunset on the beach in Santorini, Greece during our engagement trip.	Playing the board game 'Catan' with Sarah and Mark at our apartment last Saturday night.	Hiking with Alex and Sarah in Yosemite National Park, posing by the big waterfall, summer 2023.	The kids, Mia and Sam, carving pumpkins for Halloween on the back porch, October 2023.
That video of Liam walking for the first time in the living room	Liam taking his first steps in the living room, March 2024.	Liam crawling on the floor	Liam's first birthday party	Our daughter Sarah taking her first steps	My and David's 5th wedding anniversary dinner at The French Laundry, September 2022.	The kids, Leo and Mia, having an epic pillow fight in their bedroom on a rainy Saturday afternoon.	Before and after photos of us painting the bedroom 'Ocean Blue', Memorial Day weekend 2023.	The kids, Liam and Chloe, playing inside a huge pillow fort they built in the living room on a rainy Saturday.
Show me the fall colors on our hike	Hiking to the summit of Mount Beacon with friends, enjoying the fall foliage, October 2022.	Skiing trip in Vermont last winter	Camping by the lake in the summer	Walking the dog in the local park in autumn	Our team winning the 'best costume' award at the company Halloween party, October 2024.	My work team's pasta-making class at 'The Italian Kitchen', October 2023.	At Mike and Emily's wedding, dancing with the bridesmaids. August 6, 2024, at the vineyard.	Video of baby Emily taking her first wobbly steps in the living room, March 2022. I was so proud!
Where's that photo of the cat in the sun patch?	Our cat, Mittens, sleeping in a sunbeam on the kitchen floor on a Tuesday afternoon.	Mittens playing with her toy mouse	Our dog, Max, sleeping on the couch	The cat hiding under the bed	The whole family carving pumpkins on the back porch for Halloween 2022.	Finished painting the sunset mural on my bedroom wall. Took all weekend, September 2021.	Baby Leo taking his first steps in the living room, March 5, 2024.	Giving my maid of honor speech at my sister Emily's wedding. The reception was at The Grand Hall, October 5th, 2024.
Family photos from Thanksgiving at Grandma's	The whole family gathered around the dining table for Thanksgiving dinner at Grandma's house, 2024.	Christmas dinner at our house	Fourth of July barbecue	Grandma's 80th birthday party	Painting the walls of the nursery light blue before Olivia was born, spring 2022.	The kids, Leo and Mia, carving pumpkins on the back porch for Halloween 2022, making a huge mess.	Leo taking his first steps in our living room, March 2024, with our golden retriever, Sunny, watching.	Video of the sunset over Lake Michigan during our trip to Chicago, summer 2022.
my team at the company offsite	My team winning the 'Best Project' award at the company offsite in San Diego, October 2023.	the company holiday party last December	team lunch at that Mexican place downtown	my presentation at the quarterly review	Our cat, Mittens, curled up and sleeping in a sunbeam on the kitchen floor on a lazy Sunday afternoon.	Me crossing the finish line at the city marathon, October 2023. It was raining.	Me and David hiking the trail to Grindelwald First in the Swiss Alps, August 2022.	Leo taking his first steps in our living room, March 2023.
Mittens being a weirdo in a cardboard box	Our cat, Mittens, sleeping inside a cardboard box in the study. So typical!	Mittens playing with her toy mouse	Our dog, Buster, sleeping on the couch	The cat sitting on the windowsill looking outside	My first day at the new office for the Acme Corp job, downtown Seattle, September 5th, 2023. Posing by my new desk.	Celebrating Sarah's 30th birthday with a surprise party at The Rooftop Bar, last summer.	Video of our son Leo taking his first steps in the living room, around his first birthday.	Group photo at the summit of Mount Rainier after a long hike. July 2023.
Pictures of the mountains in Peru	Me and Sarah hiking the Inca Trail to Machu Picchu, Peru, May 2022.	Hiking in the Grand Canyon with my family	Sarah's wedding in Mexico	My solo trip to Japan	My wife Chloe's surprise 30th birthday party at our house, with all our friends. November 18, 2023.	Video of Leo's first wobbly steps in the living room. May 8, 2024.	Presenting the Q3 project results to the team via video conference, September 2023.	Me and my husband painting the nursery light blue before Emily was born, spring 2021.
date night last August	Our anniversary dinner at 'The Little Italy Bistro'. Mike gave me a necklace. August 28, 2024.	Mike's birthday dinner with his family	Our Valentine's Day celebration	Our first date at the coffee shop	My watercolor painting of the lighthouse from our trip to Maine, sitting on the easel in my studio.	My first attempt at pottery class, getting my hands dirty with the clay wheel, Saturday afternoon.	The whole family gathered for Thanksgiving dinner at our house, 2023.	My team winning the 'Best Project' award at the company offsite in San Diego, October 2023.
Show me dancing with my grandparents	My cousin Sarah's wedding reception, dancing with my grandparents, held at the Grand Ballroom in May 2021.	My own wedding photos	Sarah's bridal shower	My grandparents' 50th anniversary party	Me and David painting the nursery blue before the baby was born, around spring 2021.	Building the new bookshelf for the study with my dad over the weekend. April 2024.	My team at the annual company holiday party, held at the downtown conference center, December 2023.	Backyard BBQ with the neighbors for the 4th of July, watching the fireworks, 2023.
Our homemade pasta night	Making homemade pasta with the kids in our kitchen on a rainy Saturday afternoon, March 4th, 2024.	Baking Christmas cookies with the kids	Making pizza on a Friday night	Kids playing outside in the rain	Receiving the 'Employee of the Year' award at the company holiday party, December 2022.	Making homemade pasta with Grandma Maria in her kitchen, a Sunday afternoon in Fall 2022.	Grandma's 80th birthday party at the community hall, with the whole family singing Happy Birthday.	The kids hunting for eggs in the backyard on Easter morning, April 2022.
The beautiful lake we hiked to with Dad	Hiking the Emerald Lake trail in Rocky Mountain National Park with my dad, August 2023.	Camping trip with my friends last summer	Skiing in Colorado with my dad in winter	Hike at Yosemite National Park in 2021	Me, Sarah, Maria, and Chloe on our girls' trip to Barcelona, Spain, summer 2022.	My proposal to Alex on the beach in Maui during sunset, October 2022.	The whole family together for Thanksgiving dinner at Grandma's house, 2022.	Me and Sarah under the cherry blossom trees in Kyoto, Japan, April 2022.
photos of me on stage at the annual awards	Receiving the 'Employee of the Year' award at the company gala, December 2023.	team lunch at the Italian restaurant	company picnic summer 2023	presenting the quarterly report in the conference room	Baby Leo taking his first steps in the living room, March 5, 2024.	Grandma Helen's 80th birthday celebration with all the cousins at the community hall, May 2018.	Me crossing the finish line at the Chicago Marathon, October 2023. So tired but proud.	My bookshelf, newly organized by color, in my home office, June 2024.
Emily and me in Santorini	My proposal to Emily on the beach in Santorini at sunset, July 2022.	Our wedding photos from 2023	Our honeymoon in Italy	Vacation in Mykonos with friends	Hiking with Mark and David at Yosemite National Park, September 15, 2024.	My work team celebrating after our big project launch at the office. We ordered pizza. May 2023.	Watching 'The Killers' perform live at Madison Square Garden, front row, October 2022.	Painting the nursery a light blue color before Liam was born. Spring 2023.
when we made those funny face pancakes	Making smiley-face pancakes with the kids on a lazy Saturday morning, January 2024.	baking Christmas cookies with grandma	family dinner at the Italian restaurant	the kids playing in the snow outside	A quiet morning hike through the redwood forest near Muir Woods last fall.	Family carving pumpkins on the back porch for Halloween 2023.	Our cat, Mittens, sleeping inside an empty pizza box on the kitchen floor. So silly.	My family having Thanksgiving dinner at Grandma's house, November 2022.
Pumpkin carving October 2023	The kids, Emily and Tom, carving pumpkins on the back porch for Halloween 2023.	The kids in their Halloween costumes trick-or-treating	Dyeing Easter eggs	Family Thanksgiving dinner	Me and my wife, Sarah, in front of the Eiffel Tower, Paris trip, September 2022.	Celebrating Chloe's 30th birthday at that rooftop bar downtown, July 2024.	Video clip of The Killers playing 'Mr. Brightside' at their concert, Madison Square Garden, November 2022.	Our cat, Mittens, sleeping inside a cardboard box in the kitchen.
Find the team party for the Phoenix release	My team celebrating the successful 'Project Phoenix' launch at the office, December 2023.	The company holiday party 2023	A team meeting in the conference room	Working late on the Project Phoenix deadline	Me and Sarah hiking the trail at Yosemite National Park during our trip in August 2023.	Making homemade pasta with Grandma Rose in her kitchen on a Sunday afternoon.	Our cat, Mittens, napping in a sunbeam on the kitchen floor, last Tuesday afternoon.	The whole marketing team at our company offsite retreat in Lake Tahoe. We were doing a trust fall exercise. Summer 2023.
kitchen pictures from november 2023	Making sourdough bread from scratch in the kitchen on a rainy Sunday afternoon, November 2023.	baking a birthday cake for mom	cooking thanksgiving dinner with the family	gardening on a sunny day	Hiking the trails at Mission Peak with Alex and our dog, Buster. That sunset was incredible. Sometime last fall.	Me and Sarah hiking the Inca Trail to Machu Picchu, Peru, August 2019.	Our cat, Mittens, curled up sleeping on the new blue sofa, winter 2022.	My trip to Kyoto with Sarah, cherry blossom season, Spring 2022.
